議員名,政党,都道府県,選挙区,twitterユーザー名
穂坂泰,自民,埼玉,4,Hosaka_saitama4
工藤薫,共産,埼玉,4,jNODu9l8kvlmtek
浅野克彦,国民,埼玉,4,katsuhikoasano
遠藤宣彦,無所属,埼玉,4,NOBUHIKO_ENDO
小笠原洋輝,無所属,埼玉,4,なし
牧原秀樹,自民,埼玉,5,hmakihara
枝野幸男,立憲,埼玉,5,edanoyukio0531
中根一幸,自民,埼玉,6,Nakane_Kazuyuki
大島敦,立憲,埼玉,6,なし
中野英幸,自民,埼玉,7,HideNakano
小宮山泰子,立憲,埼玉,7,komiyama_yasko
伊勢田享子,維新,埼玉,7,Iseda_michiko
柴山昌彦,自民,埼玉,8,shiba_masa
小野塚勝俊,無所属,埼玉,8,onozukaonozuka
大塚拓,自民,埼玉,9,otsukataku
杉村慎治,立憲,埼玉,9,sugimura_shinji
神田三春,共産,埼玉,9,MdvBIk2LDfZCbnU
山口晋,自民,埼玉,10,yamaguchisusumu
坂本祐之輔,立憲,埼玉,10,yunosuke_waka
小泉龍司,自民,埼玉,11,なし
島田誠,立憲,埼玉,11,shimadamakoto11
小山森也,共産,埼玉,11,koyama_shinnya
野中厚,自民,埼玉,12,nonakajimusho
森田俊和,立憲,埼玉,12,mori_morita
土屋品子,自民,埼玉,13,shinako_jimusho
三角創太,立憲,埼玉,13,misumikouenkai1
赤岸雅治,共産,埼玉,13,akagishi_ma
三ッ林裕巳,自民,埼玉,14,なし
田村勉,共産,埼玉,14,wtjcp
鈴木義弘,国民,埼玉,14,なし
田中良生,自民,埼玉,15,Tanaka_Ryosei
高木錬太郎,立憲,埼玉,15,takagirentaro
沢田良,維新,埼玉,15,saitama_ishin
門山宏哲,自民,千葉,1,なし
田嶋要,立憲,千葉,1,kanametajima
小林鷹之,自民,千葉,2,kobahawk
黒田雄,立憲,千葉,2,kurodayuu322
寺尾賢,共産,千葉,2,sterao2562
松野博一,自民,千葉,3,MatsunoHirokazu
岡島一正,立憲,千葉,3,kazu_okajima
木村哲也,自民,千葉,4,Kimura_Tetsuya_
野田佳彦,立憲,千葉,4,NODAYOSHI55
矢崎堅太郎,立憲,千葉,5,k_yazaki
鴇田敦,国民,千葉,5,tokita812
椎木保,維新,千葉,5,Tamotsu_Shiiki
薗浦健太郎,自民,千葉,5,sonourakentaro
藤巻健太,維新,千葉,6,3tsrZebpqP9nnSl
渡辺博道,自民,千葉,6,なし
浅野史子,共産,千葉,6,asafum814
生方幸夫,無所属,千葉,6,ubukatayukio66
内山晃,維新,千葉,7,_uchiyamaakira
齋藤健,自民,千葉,7,saitou_ken
竹内千春,立憲,千葉,7,takeuchi_cdp
渡辺晋宏,NHK,千葉,7,kuni_nabe_
本庄知史,立憲,千葉,8,honjosatoshi
桜田義孝,自民,千葉,8,ysakurada
宮岡進一郎,無所属,千葉,8,なし
奥野総一郎,立憲,千葉,9,sokuno2
秋本真利,自民,千葉,9,akimoto_chiba9
今留尚人,無所属,千葉,10,ImadomeNao
梓まり,諸派,千葉,10,azutarou3
谷田川元,立憲,千葉,10,hajimestaff
林幹雄,自民,千葉,10,なし
多ケ谷亮,れいわ,千葉,11,RyoTagaya
森英介,自民,千葉,11,なし
椎名史明,共産,千葉,11,fumiakishiina
葛原茂,共産,千葉,12,なし
浜田靖一,自民,千葉,12,yasukazuhamada
樋高剛,立憲,千葉,12,hidaka_takeshi
宮川伸,立憲,千葉,13,Shin1Miyakawa
松本尚,自民,千葉,13,hmatsu63
清水聖士,維新,千葉,13,KamagayaKiyoshi
中谷真一,自民,山梨,1,nakatani80
中島克仁,立憲,山梨,1,KatsuNakajima
辺見信介,NHK,山梨,1,なし
市来伴子,立憲,山梨,2,ichiki_tomoko
大久保令子,共産,山梨,2,500313Jcp
堀内詔子,自民,山梨,2,genkihoriuchi
浅川義治,維新,神奈川,1,asakawayosiharu
松本純,無所属,神奈川,1,junmatsumoto411
篠原豪,立憲,神奈川,1,go_shinohara
菅義偉,自民,神奈川,2,sugawitter
岡本英子,立憲,神奈川,2,okamoto_eiko
中西健治,自民,神奈川,3,Kenji_Nakanishi
小林丈人,立憲,神奈川,3,kobayashitaketo
藤村晃子,無所属,神奈川,3,akikofujimura
木佐木忠晶,共産,神奈川,3,kisaki_tadamasa
山本朋広,自民,神奈川,4,ty_polepole
浅尾慶一郎,無所属,神奈川,4,asao_keiichiro
早稲田夕季,立憲,神奈川,4,waseda_yuki
大西恒樹,無所属,神奈川,4,tsune0024
高谷清彦,維新,神奈川,4,TAKAYA_ZUSHI
山崎誠,立憲,神奈川,5,yamazakimakoto
坂井学,自民,神奈川,5,sakai_manabu
串田誠一,維新,神奈川,6,KushidaOf
青柳陽一郎,立憲,神奈川,6,aoyagy
古川直季,自民,神奈川,6,FurukawaNaoki
中谷一馬,立憲,神奈川,7,kazuma_nakatani
鈴木馨祐,自民,神奈川,7,SuzukiKeisukeMP
三谷英弘,自民,神奈川,8,mitani_h
江田憲司,立憲,神奈川,8,edaoffice
斉藤温,共産,神奈川,9,nodokajcp
中山展宏,自民,神奈川,9,norihiron
笠浩史,立憲,神奈川,9,hirofumi_ryu
吉田大成,維新,神奈川,9,Taisei_YSD
鈴木敦,国民,神奈川,10,suzukiatsushi_
田中和徳,自民,神奈川,10,t_kazunori
畑野君枝,共産,神奈川,10,hatanokimie
金村龍那,維新,神奈川,10,you__yachainayo
林伸明,共産,神奈川,11,nobuakiinsta
小泉進次郎,自民,神奈川,11,なし
星野剛士,自民,神奈川,12,hossys
阿部知子,立憲,神奈川,12,abe_tomoko
水戸将史,維新,神奈川,12,mito_m_kickoff
太栄志,立憲,神奈川,13,h_futori
甘利明,自民,神奈川,13,Akira_Amari
長友克洋,立憲,神奈川,14,なし
赤間二郎,自民,神奈川,14,なし
佐々木克己,社民,神奈川,15,k15ku_katsumi
河野太郎,自民,神奈川,15,konotarogomame
渡辺麻里子,NHK,神奈川,15,なし
義家弘介,自民,神奈川,16,yoshiiehiroyuki
後藤祐一,立憲,神奈川,16,yuichi510510
牧島かれん,自民,神奈川,17,makishimakaren
神山洋介,立憲,神奈川,17,KAMIYAMA_Yosuke
山田正,共産,神奈川,17,fujisanhakoneya
三村和也,立憲,神奈川,18,mimurakazuya99
横田光弘,維新,神奈川,18,なし
山際大志郎,自民,神奈川,18,yamagiwa001
山田美樹,自民,東京,1,yamada_miki
海江田万里,立憲,東京,1,banrikaieda
小野泰輔,維新,東京,1,taisukeono
内藤久遠,無所属,東京,1,なし
木内孝胤,維新,東京,2,takatanekiuchi
松尾明弘,立憲,東京,2,matsuo_akihiro
辻清人,自民,東京,2,tujikiyoto
北村造,れいわ,東京,2,ItaruKitamura
出口紳一郎,無所属,東京,2,deguchi2021
香西克介,共産,東京,3,kouzai2007
松原仁,立憲,東京,3,matsubarajin731
石原宏高,自民,東京,3,hirotaka_tokyo3
林智興,維新,東京,4,HayashiTomooki
平将明,自民,東京,4,TAIRAMASAAKI
谷川智行,共産,東京,4,ttanigawa3
手塚仁雄,立憲,東京,5,t440_com
若宮健嗣,自民,東京,5,wakamiya7788
田淵正文,維新,東京,5,tabuchi_doctor
越智隆雄,自民,東京,6,ochitakao
碓井梨恵,維新,東京,6,rieusui_ishin
落合貴之,立憲,東京,6,ochiaitakayuki
辻健太郎,維新,東京,7,kentaro_tsuji
松本文明,自民,東京,7,Matsumoto_7ku
長妻昭,立憲,東京,7,nagatsumaakira
猪野恵司,NHK,東京,7,keijiino
込山洋,無所属,東京,7,komiyama0509
石原伸晃,自民,東京,8,IshiharaNobu
吉田晴美,立憲,東京,8,YoshidaHarumi
笠谷圭司,維新,東京,8,Ishin_Kasatani
山岸一生,立憲,東京,9,isseiyamagishi
安藤高夫,自民,東京,9,AndoTakao1959
小林興起,諸派,東京,9,YamatoParty
南純,維新,東京,9,minna_no_minami
鈴木庸介,立憲,東京,10,20161023yousuke
鈴木隼人,自民,東京,10,HYT4ALL
小山徹,無所属,東京,10,ichibanboshi_ko
藤川隆史,維新,東京,10,Ishin_Fujikawa
沢口祐司,諸派,東京,10,a6RClLbGL4MGwYW
下村博文,自民,東京,11,hakubun_s
桑島康文,無所属,東京,11,なし
西之原修斗,共産,東京,11,S_nishinohara
阿久津幸彦,立憲,東京,11,akutsu0626
岡本三成,公明,東京,12,okamoto3nari
阿部司,維新,東京,12,abe2kasa
池内沙織,共産,東京,12,ikeuchi_saori
土田慎,自民,東京,13,tsuchidashin
沢田真吾,共産,東京,13,sawada_shingo3
渡辺秀高,無所属,東京,13,Jy6x7dGO53YkUCj
北條智彦,立憲,東京,13,KitajoTomohiko
橋本孫美,無所属,東京,13,honchi_0425
大塚紀久雄,無所属,東京,14,なし
松島みどり,自民,東京,14,matusimamidori
竹本秀之,無所属,東京,14,qnDHS5YTCn2u6y5
西村恵美,維新,東京,14,happymania28jp
木村剛司,立憲,東京,14,kimurataketsuka
梁本和則,無所属,東京,14,なし
桜井誠,諸派,東京,15,SakuraiOuen
井戸正枝,立憲,東京,15,idomasae
柿沢未途,無所属,東京,15,310kakizawa
猪野隆,無所属,東京,15,ino_takasi
今村洋史,無所属,東京,15,imamura_jimin
金澤結衣,維新,東京,15,kanazawa_yui
吉田浩司,無所属,東京,15,なし
水野素子,立憲,東京,16,spacemom2019
中津川博郷,維新,東京,16,h_nakatsugawa
太田彩花,共産,東京,16,jcp_oaya
大西英男,自民,東京,16,0024hideo
田中健,NHK,東京,16,edoken
猪口幸子,維新,東京,17,sachi_inokuchi
新井杉生,共産,東京,17,over_wash
平沢勝栄,自民,東京,17,katsueihirasawa
円より子,国民,東京,17,madokayoriko
長島昭久,自民,東京,18,nagashima21
子安正美,無所属,東京,18,masami_koyasu
菅直人,立憲,東京,18,NaotoKan
末松義規,立憲,東京,19,9999suematsu
松本洋平,自民,東京,19,matsumoto_yohei
山崎英昭,維新,東京,19,YamazakiHideaki
前田順一郎,維新,東京,20,maejun_jp
宮本徹,共産,東京,20,miyamototooru
木原誠二,自民,東京,20,kihara_seiji
竹田光明,維新,東京,21,tachikawa2021
大河原雅子,立憲,東京,21,Waku2_ookawara
小田原潔,自民,東京,21,odawarakiyoshi
伊藤達也,自民,東京,22,tatsuyaito0501
長谷川洋平,NHK,東京,22,YH16816213
櫛渕万里,れいわ,東京,22,kushibuchi
山花郁夫,立憲,東京,22,yamahanaikuo
小倉將信,自民,東京,23,masanobu_ogura
伊藤俊輔,立憲,東京,23,shun76450
佐藤由美,国民,東京,24,satoyumi2021
吉川穂香,共産,東京,24,24h_yoshikawa
朝倉玲子,社民,東京,24,asanyanpii
萩生田光一,自民,東京,24,なし
島田幸成,立憲,東京,25,ShimadaYukinari
井上信治,自民,東京,25,なし
