,text,created_at
82,東京都の医療リソースの残り容量に関する各指標は画像の通り。都の陽性者数の関連指標は全て綺麗に下がっているので、現在の陽性者数の低さは本物だと見て良さそう。重症者数はあともう一息。全国レベルでも現在患者数が1万を切るところまで来た https://t.co/paOBImS3yP,2021-10-14 18:09:36+00:00
83,2020年11月1日以降の年代別推移 https://t.co/4JyCLcZEY4,2021-10-14 18:09:35+00:00
84,"本日の東京都の報告数は62名、二階差分トレンドの直近3日間の推定値は93, 77.5, 60.6、7日周期成分の推定値は187, 87.7, -126, -344, -73.7, 124, 227、直近3日間の「加速度」は-12.… https://t.co/ldJp4tX9Wt",2021-10-14 18:09:33+00:00
85,あるデータ分析の結果が綺麗なんだけど明らかにおかしくて、「これは元データに変なバイアスがかかっているのでは？」と疑ってデータの出処から確認し直したら、確かにバイアスがかかっていたことが判明して、分析をやり直したら今度こそ妥当な結果が得られたという一幕があった。今日は良い日だ,2021-10-14 16:33:30+00:00
86,RT @hautannn: 鉄を扱う仕事をしてるワシから注意喚起です。鉄のスクラップ買取単価が50円/kgの世界に入りました。泥棒が鉄物を片っ端から盗みます。グレーチング、マンホールの蓋、敷鉄板は特に盗まれます。歩きスマホをして足元不注意で穴にストンと落ちて死んじゃう可能性もあ…,2021-10-14 15:09:03+00:00
87,「何故Deep Learningは精度が高いのか」と面接で聞かれたら、 @insou さんの「非滑らかな関数の推定」論を引いて「無限に線形モデルを積み重ねていくと非滑らかな関数で表されるデータにも綺麗に適合できるんです！」と力説し… https://t.co/szgeK1hoPi,2021-10-14 14:19:31+00:00
88,つまり卒論生の段階でこのソートアルゴリズムが初出だと気付いていれば論文が書けたんだな！（錯乱,2021-10-14 10:54:29+00:00
89,これ、そうと知らずに卒論生の時に実験装置制御のために書いたソートアルゴリズムと全く同じな気がする。。。 https://t.co/41bM2uCHgb,2021-10-14 10:51:34+00:00
90,"RT @rosso016: ソートアルゴリズムといえば、今年発表されたソートアルゴリズムを実装してみた
直感的には真逆の結果（降順）が得られそうなんだけど、実は昇順になる。コードもめちゃくちゃシンプルでびっくり
論文：https://t.co/uOwQwBbsT0 https:…",2021-10-14 10:50:29+00:00
91,@odashi_t クッソワロタ,2021-10-14 01:26:23+00:00
92,そして今見返すとバストトップの描写多過ぎてこれ現代では放送禁止だろと思ったでござる、あれ要らないだろ,2021-10-14 01:01:07+00:00
93,いにしえのオタクがさらに増えた https://t.co/TX2cfCITGh,2021-10-14 00:57:27+00:00
94,RT @tokagetail: 宇宙のゴミである人類を滅ぼすために活動を開始した免疫機構たる宇宙怪獣（コロナ）か…,2021-10-14 00:57:14+00:00
95,@odashi_t 例の漫画のせいか検索サジェストがそればっかりになっててワロタ,2021-10-14 00:56:47+00:00
96,@odashi_t コメント有難う,2021-10-14 00:54:34+00:00
97,@Cur4E7Iox5S0mOR 博士課程になんぞ行ったのが間違いでは,2021-10-14 00:54:06+00:00
98,いにしえのオタクだ！ https://t.co/D0ZolnAXUd,2021-10-14 00:51:19+00:00
99,RT @bwpotato: バスターマシン3号爆縮させてブラックホールにウィルスを吸い込ませるでござる。,2021-10-14 00:51:06+00:00
100,@Cur4E7Iox5S0mOR 従兄だよ,2021-10-14 00:49:31+00:00
101,マジこのTLいにしえのオタク多過ぎるだろ,2021-10-13 22:37:13+00:00
102,アマプラでトップをねらえを幾星霜ぶりかに見ているんだけど、2020年に人類と地球が宇宙怪獣に襲われたという話になっているのを見て、実際には新型コロナウイルスに襲われたんだよなぁと思ったでござる,2021-10-13 22:25:04+00:00
103,東京都の医療リソースの残り容量に関する各指標は画像の通り。先述の通り都の重症者数が43(-12)名と大幅に減って、昨秋小康状態の30名台が見えてきた。全国レベルでも順調に減少が続く https://t.co/c9srzVJPCI,2021-10-13 17:59:15+00:00
104,2020年11月1日以降の年代別推移 https://t.co/hgSTuSaZ6r,2021-10-13 17:59:14+00:00
105,"本日の東京都の報告数は72名、二階差分トレンドの直近3日間の推定値は131, 138, 145、7日周期成分の推定値は99.8, 65.7, 67.1, -22.7, -193, -40.6, 61.8、直近3日間の「加速度」は2… https://t.co/T6z81dbl1y",2021-10-13 17:59:13+00:00
106,これ割と冗談でなくて、どれほど巨大なインスタンスを社内で用意しても遅いコードを書いてしまうとガチで翌日になってもレスポンスが返ってこないとかいうことになりやすいので、いかにライブラリ依存のコードばっかりだとしても計算量とか実行速度とかは気にした方が良いと思う次第,2021-10-13 15:12:28+00:00
107,@showyou なんですよね。明示的に自分でアルゴリズムを書き分けられない＆ライブラリ依存で書く場合でも、速い遅いは気にしなければならんなぁと思ってます。,2021-10-13 15:06:19+00:00
108,@hamukazu 秋山仁の持ちネタだった「それは10グラムですか？？？」を思い出しました,2021-10-13 14:57:12+00:00
109,@showyou ご明察です,2021-10-13 14:56:33+00:00
110,まぁ速いコードが思いつかなくて、仕方なく亀より遅いコード書いた挙句いつまで経ってもレスポンスが返ってこないとか良くありますけどねHAHAHA（鼻血,2021-10-13 14:52:44+00:00
111,ソートの計算量なんてどうでも良いという論を見かけたけど、プログラミング言語ですらないただのDSLだとまで言われるRにおいてすら生のfor文をベクトル演算に替えたら50倍くらい速くなってSUGEEEEE!!とかなることがあるので、計… https://t.co/TldOHO4fSr,2021-10-13 14:45:45+00:00
112,RT @readeigo: 最近日本のどこかのホテルで、受付の外国人女性に怒鳴りつけていたけど、警察が来たら大人しくなったというニュースが頭のどこかに残っていたから「警察」と思ったんだと思います。あの男も今日の白人の男も人種差別してて共通点。人を選んで弱い者いじめがをしている人…,2021-10-13 13:39:53+00:00
113,RT @readeigo: その男性が出て行ったら、レジに並んでいた他の人達に拍手されてしまい、負担滅多に褒められる事がない私は「でへ…でへ…」とインキャ笑顔を振りまいていると、レジの人が「これは私のおごり」とシャンプータダにしてくれました。誰かが本当に警察呼んでいたようで、駐…,2021-10-13 13:39:48+00:00
114,RT @readeigo: 夕方に薬局に寄ったら、デカい白人のオッサンがレジのアジア人女性に「Speak English!!!!」と怒鳴って（英語で話してる）アジア人の英語なんか知るかと言う態度なので、思わず「今警察に電話してますけど、私の英語わかります？」と言ったら静かになっ…,2021-10-13 13:39:46+00:00
115,"とはいえ、結局こういう話になる
https://t.co/Rl0Ew36sfT",2021-10-13 13:35:58+00:00
116,@asumaslv 風説の流布はご遠慮くださいww,2021-10-13 13:34:19+00:00
117,本質的には人材の流動化は「自ら新天地を求めて今の職場を自発的に辞めて外に出ていく」人を増加させることでしか達成できないと思われるので、「外に出ると危険だから今の職場にしがみつく」人だらけならどうあがいても促進できるわけがない。好景… https://t.co/5Zn9ml1O3t,2021-10-13 13:00:08+00:00
118,2は最近流行りの「人材の流動化」ですが、結局のところ「日本企業間で転職しようとすると中途採用しているところが少ないので転職できないし中途退職もできない」という話なので、単に中途の割合を増やしませんかという話。個々の企業にとっても新しい風が入ってくるのでやってみる価値はあるはずかと,2021-10-13 12:57:50+00:00
119,1は企業側で良く出る「博士様というから凄い人が来るんだと思ったらろくろくプログラミングすらも出来ないただの専門馬鹿だった」みたいな事態を避けるために、単純に「専門以外でも食えるように手に職を」という話です。今や理工系に限らず人文系でもITは有用なので、全分野で必須にしても良いかと,2021-10-13 12:55:45+00:00
120,"これはある程度現状でも解決策のある話だと思っていて、それは
1. 特に博士ポスドクにはプログラミング含むtechスキルの習得を「分野を問わず」必須とする
2. 日本企業は採用総数を維持する代わりに新卒の割合を減らして中途の割合を増… https://t.co/uIHvJ97Y1n",2021-10-13 12:52:27+00:00
121,@wkbme 虚偽を述べるな,2021-10-13 12:48:01+00:00
122,RT @micacimica: 民間側の雇用流動化がアカデミアの問題、具体的にはポスドク問題の本質的解決に繋がるのだけれど、twitter世論を見ていると、政治家や経団連が雇用流動化を言い出すとアカデミア関係者も猛反発する傾向がある。しかし民間側の中途採用拡大がない限り、ポスド…,2021-10-13 12:41:10+00:00
123,RT @micacimica: アカデミアの中にはポスドク問題の解決策として「大学のポストを増やすべし」と言う一方で、「日本は博士が少ない、もっと博士を増やすべし」と主張される方も少なくないが、根本的に、ポストの数よりポスドクが増えれば問題は解決しない。博士卒→民間のパスを広く…,2021-10-13 12:41:07+00:00
124,RT @micacimica: 自分は博士卒で民間企業行った身だからというのもあるが、アカデミアと民間の間で人材が行き来するパスが狭いことが日本の労働市場の課題の一つだと見ている。これがポスドク問題の本質だと思っている。ポスドク１万人計画はポスドク→民間への人材移転を前提として…,2021-10-13 12:41:03+00:00
125,@wkbme よう変な称号,2021-10-13 12:32:11+00:00
126,@kenmcalinn 上手いww,2021-10-13 12:31:43+00:00
127,@kenmcalinn 良いフレーズですねw,2021-10-13 12:23:35+00:00
128,ちなみにこの手の自称系で過去一番面白かったのは、自称「未来のノーベル賞候補」ですね,2021-10-13 11:31:54+00:00
129,「元or現〇〇の天才データサイエンティスト」とか名乗るのは自分なら超絶恥ずかしくて穴があったら入りたくなりそうだけど、昔どこかで「天才データサイエンティスト」って自称している人見かけた気がするんだよなぁ。。。,2021-10-13 11:28:36+00:00
130,RT @55_kumamon: おはくま～！よし、行くかモン！ https://t.co/By985QbVlH,2021-10-13 10:32:25+00:00
131,RT @ZanEngineer: 人工知能に40万時間のホラー映画を見せて作らせた「世界初のAIによるホラー映画」、絶対B級ホラー映画ばっか見せただろ… https://t.co/rb2RYASVIP,2021-10-13 10:30:15+00:00
132,@garyu 勘違いでも単なるマーケティングでも、自分のことを天才と自称できる人は色々「強い」んだろうなと思いました。,2021-10-13 10:13:29+00:00
133,"RT @stateofai_ja: このMITによる論文、重要すぎて機械学習に関わる人は必見だと思う

ImageNetなど有名なデータのテストセットには平均3.4%ものラベル誤りが存在し、最近のSOTAモデルはこれに過適合している。ノイズが多い現実世界のデータでは、ResNe…",2021-10-13 09:38:45+00:00
134,@peko409 まぁどう見ても自発的に濃厚接触しに行くってことですからね。。。,2021-10-13 01:45:26+00:00
135,DIDも受賞テーマに入っているので、多分嘘は言ってないと思う,2021-10-13 00:33:17+00:00
136,今度から因果推論の導入を渋るステークホルダーがいたら「ノーベル経済学賞でその価値と意義を認められたので是非因果推論やりましょう！」と言って、しれっとDIDやればいいんだろうか,2021-10-13 00:32:56+00:00
137,"RT @CNN: This man says his wife was undecided about the view she wanted to see from their window, so he came up with a solution: a rotating…",2021-10-13 00:17:34+00:00
138,@wndrm4478 来れるんじゃない？流石に。,2021-10-12 23:58:48+00:00
139,"RT @Izumi72: 「昔は子育ての補助なんて無かったよ」って話も、昔は社会保険料は安かったし、年少扶養控除はあったし、賞与に所得税や社会保険料はかからなかったし、消費税もなかったんだよねえ。
今は、あれこれ全部引かれてやっと手元に残った1万円でモノを買おうと思ったら、そこ…",2021-10-12 23:55:07+00:00
140,@shima__shima でもその初期値に限りないドメイン知識が込められていて、しかも有効なんじゃないでしょうか,2021-10-12 19:11:56+00:00
141,@natsumi_k 今からでも是非！,2021-10-12 19:09:47+00:00
142,RT @morikihajime: ここでアクセル全開 https://t.co/lwMPKNmSRC,2021-10-12 19:08:57+00:00
143,@shima__shima つまり一種のドメイン知識ということでしょうか？,2021-10-12 19:06:19+00:00
144,RT @g_gafgarion: 未治療に終わる人は居るけどそれは本人の人生観というよりかは医学的、社会的な理由によるもの。「散々吸ってきたからね、仕方ないね」と言いながらできる治療は全部やる。最後まで抗う人がほとんどだしそれが自然な姿だと思うけど。,2021-10-12 19:00:02+00:00
145,"RT @g_gafgarion: 「自然に罹って自然に治す。多くは軽症」の何がヤバいって自分がハズレクジ引くだなんて少しも思ってないところなんだよな。
重症化したら運命だと思って受け入れるとか言うんだろうけど、僕が診てきたベビースモーカーの肺癌患者さんで運命を受け入れた人なんて…",2021-10-12 18:59:07+00:00
146,"RT @otsune: 「モデルナ製ワクチン接種者限定のマッチングサービス！」という出会い系サービスがあってびっくりしたんだけど、どうやらモデルナは大企業の職域接種で使われていることが多いから、この名目にすると自然と裕福なサラリーマンに絞れるからじゃないかという説が。
なるほど。",2021-10-12 18:58:47+00:00
147,@shima__shima クリムトですか、渋いところ来ましたね,2021-10-12 18:57:21+00:00
148,@shima__shima むしろ金泥使う文化あるんでしたっけとか思ってしまいました。。。,2021-10-12 18:04:17+00:00
149,RT @NiklasElmehed: Putting gold on the Nobel Laureates in physics. A lot of people ask me if it's real gold but I'm sorry to make you disap…,2021-10-12 17:44:59+00:00
150,"RT @NiklasElmehed: Final portraits for 2021 Nobel Prize announcement, Economics sciences. @NobelPrize #nobelprize #economics #illustrationo…",2021-10-12 17:44:30+00:00
151,東京都の医療リソースの残り容量に関する各指標は画像の通り。都の重症者数が55(-7)名とさらに減ってきた https://t.co/34PvjmOp3L,2021-10-12 17:10:37+00:00
152,2020年11月1日以降の年代別推移 https://t.co/hqRihXJBBD,2021-10-12 17:10:36+00:00
153,"本日の東京都の報告数は77名、二階差分トレンドの直近3日間の推定値は164, 168, 175、7日周期成分の推定値は49, 53.9, 61, 22.2, -31.7, -230, -34.7、直近3日間の「加速度」は2.55,… https://t.co/cuT4NTObDU",2021-10-12 17:10:34+00:00
154,RT @karageru_0213: サギグループに狙われてる https://t.co/B8fzVCQulx,2021-10-12 17:00:01+00:00
155,ってかCardがDIDの始祖だったの完全に見落としてた,2021-10-12 16:28:19+00:00
156,RT @47news: 東京地裁にマスク着用しない数百人の集団 https://t.co/xmGYEjIyWI,2021-10-12 15:01:34+00:00
157,"@Naomiit14 これですね
https://t.co/FrNXLSmwUO",2021-10-12 15:01:29+00:00
